Iteration 1: time=0.01, ELBO=-50476.71, deltaELBO=202664.217 (80.05983798%), Factors=8
Iteration 2: time=0.01, ELBO=-43727.09, deltaELBO=6749.623 (2.66634975%), Factors=8
Iteration 3: time=0.01, ELBO=-40510.43, deltaELBO=3216.658 (1.27069854%), Factors=8
Iteration 4: time=0.01, ELBO=-38174.92, deltaELBO=2335.513 (0.92261392%), Factors=8
Iteration 5: time=0.01, ELBO=-36533.05, deltaELBO=1641.863 (0.64859642%), Factors=8
Iteration 6: time=0.00, ELBO=-35561.68, deltaELBO=971.375 (0.38372903%), Factors=8
Iteration 7: time=0.00, ELBO=-34955.47, deltaELBO=606.207 (0.23947410%), Factors=8
Iteration 8: time=0.02, ELBO=-34513.23, deltaELBO=442.246 (0.17470340%), Factors=8
Iteration 9: time=0.00, ELBO=-34162.19, deltaELBO=351.037 (0.13867248%), Factors=8
Iteration 10: time=0.01, ELBO=-33899.80, deltaELBO=262.391 (0.10365415%), Factors=8
Iteration 11: time=0.00, ELBO=-33711.47, deltaELBO=188.331 (0.07439773%), Factors=8
Iteration 12: time=0.00, ELBO=-33570.92, deltaELBO=140.551 (0.05552284%), Factors=8
Iteration 13: time=0.01, ELBO=-33456.24, deltaELBO=114.681 (0.04530322%), Factors=8
Iteration 14: time=0.00, ELBO=-33354.63, deltaELBO=101.608 (0.04013884%), Factors=8
Iteration 15: time=0.01, ELBO=-33253.13, deltaELBO=101.495 (0.04009421%), Factors=8
Iteration 16: time=0.01, ELBO=-33134.67, deltaELBO=118.462 (0.04679668%), Factors=8
Iteration 17: time=0.00, ELBO=-32980.90, deltaELBO=153.770 (0.06074479%), Factors=8
Iteration 18: time=0.01, ELBO=-32789.25, deltaELBO=191.651 (0.07570929%), Factors=8
Iteration 19: time=0.00, ELBO=-32592.92, deltaELBO=196.330 (0.07755751%), Factors=8
Iteration 20: time=0.01, ELBO=-32433.17, deltaELBO=159.751 (0.06310756%), Factors=8
Iteration 21: time=0.01, ELBO=-32313.64, deltaELBO=119.534 (0.04722027%), Factors=8
Iteration 22: time=0.01, ELBO=-32220.89, deltaELBO=92.743 (0.03663674%), Factors=8
Iteration 23: time=0.00, ELBO=-32144.10, deltaELBO=76.794 (0.03033642%), Factors=8
Iteration 24: time=0.00, ELBO=-32076.73, deltaELBO=67.366 (0.02661216%), Factors=8
Iteration 25: time=0.01, ELBO=-32015.12, deltaELBO=61.615 (0.02434002%), Factors=8
